Localisation;Service;Fréquence Min (MHz);Fréquence Max (MHz);Preset
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.51875;406.53125;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.51875;406.53125;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.51875;406.53125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.56875;406.58125;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.56875;406.58125;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.56875;406.58125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.63125;406.64375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.63125;406.64375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.63125;406.64375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.78125;406.79375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.78125;406.79375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.78125;406.79375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.81875;406.84375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.81875;406.84375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.81875;406.84375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.85625;406.86875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.85625;406.86875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.85625;406.86875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.88125;406.90625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.88125;406.90625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.88125;406.90625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.93125;406.96875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.93125;406.96875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.93125;406.96875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.03125;407.04375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.03125;407.04375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.03125;407.04375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.06875;407.09375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.06875;407.09375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.06875;407.09375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.13125;407.14375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.13125;407.14375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.13125;407.14375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.20625;407.21875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.20625;407.21875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.20625;407.21875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.31875;407.35625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.31875;407.35625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.31875;407.35625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.44375;407.45625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.44375;407.45625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.44375;407.45625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.46875;407.49375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.46875;407.49375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.46875;407.49375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.53125;407.56875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.53125;407.56875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.53125;407.56875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.59375;407.63125;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.59375;407.63125;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.59375;407.63125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.64375;407.65625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.64375;407.65625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.64375;407.65625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.68125;407.69375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.68125;407.69375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.68125;407.69375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;407.73125;407.74375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;407.73125;407.74375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;407.73125;407.74375;Oui
